Region,Year,Educational Attainment,Median Income
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,College,37229.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,Bachelor,51533.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2015,Graduate,52704.0
Grays Harbor & Mason Counties,2015,Less than High School,18931.0
Grays Harbor & Mason Counties,2015,High school,25315.0
Grays Harbor & Mason Counties,2015,College,31803.0
Grays Harbor & Mason Counties,2015,Bachelor,51182.0
Grays Harbor & Mason Counties,2015,Graduate,70273.0
Clallam & Jefferson Counties,2015,Less than High School,23194.0
Clallam & Jefferson Counties,2015,High school,30450.0
Clallam & Jefferson Counties,2015,College,30429.0
Clallam & Jefferson Counties,2015,Bachelor,26133.0
Clallam & Jefferson Counties,2015,Graduate,52140.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,Less than High School,61454.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,High school,91935.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,College,113804.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,Bachelor,155079.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,Graduate,197071.0
Clark County,2015,Less than High School,113105.0
Clark County,2015,High school,136377.0
Clark County,2015,College,148422.0
Clark County,2015,Bachelor,222799.0
Clark County,2015,Graduate,253704.0
King County,2015,Less than High School,301364.0
King County,2015,High school,356446.0
King County,2015,College,468146.0
King County,2015,Bachelor,733113.0
King County,2015,Graduate,865035.0
Kitsap County,2015,Less than High School,45990.0
Kitsap County,2015,High school,58576.0
Kitsap County,2015,College,76405.0
Kitsap County,2015,Bachelor,107694.0
Kitsap County,2015,Graduate,120150.0
Pierce County,2015,Less than High School,213952.0
Pierce County,2015,High school,236877.0
Pierce County,2015,College,275014.0
Pierce County,2015,Bachelor,350361.0
Pierce County,2015,Graduate,471977.0
Spokane County,2015,Less than High School,78809.0
Spokane County,2015,High school,104103.0
Spokane County,2015,College,120367.0
Spokane County,2015,Bachelor,172496.0
Spokane County,2015,Graduate,225103.0
Snohomish County,2015,Less than High School,151901.0
Snohomish County,2015,High school,225135.0
Snohomish County,2015,College,264039.0
Snohomish County,2015,Bachelor,361569.0
